Company,BSE code,NSE code,ISIN,Sector,Industry,Date,Price,1 day change(%),52 Week Low,52 Week High,Market Cap(Cr),Enterprise Value(Cr)
Shipping Corporation Of India Ltd.,523598,SCI,INE109A01011,Services,Shipping,2022-06-16,98.55,-5.69,93.15,160.2,"4,583.46","7,483.75"
Shirpur Gold Refinery Ltd.,512289,SHIRPUR-G,INE196B01016,Metals & Mining,Non-Ferrous Metal,2021-12-13,5.02,-1.57,4.95,9.91,14.63,500.88
Shish Industries Ltd.,540693,,INE145Y01015,Chemicals,Plastic Resins,2022-06-16,191,2.61,50.4,199,196.57,196.67
Shiva Cement Ltd.,532323,,INE555C01029,Materials,Cement,2022-06-16,43,-3.48,28.7,67,841.43,"1,107.26"
Shiva Global Agro Industries Ltd.,530433,,INE960E01019,Chemicals,Phosphatic Fertilisers,2022-06-16,112.95,4.15,53.25,125,106.18,159.84
Shiva Granito Export Ltd.,540072,,INE191V01015,Materials,Granite & Stones,2022-04-04,2.76,-4.83,1.75,6.6,3.65,9.1
Shivagrico Implements Ltd.,522237,,INE092H01014,Capital Goods,Other Machinery,2022-06-15,14.95,4.91,4.75,25.5,7.5,25.48
Shivalik Bimetal Controls Ltd.,513097,SBCL,INE386D01027,Capital Goods,Other Machinery,2022-06-16,385.85,-3.04,115.1,584,"1,487.72","1,539.30"
Shivalik Rasayan Ltd.,539148,SHIVALIK,INE788J01021,Chemicals,Pesticides,2022-06-16,718.95,-2.28,700,"1,196.80","1,043.22","1,088.16"
Shivam Autotech Ltd.,532776,SHIVAMAUTO,INE637H01024,Automobile,Auto Ancillaries,2022-06-16,28.1,-4.42,19.55,44.85,335.5,779.96
Shiva Mills Ltd.,540961,SHIVAMILLS,INE644Y01017,Textiles,Cotton & Blended Yarn,2022-06-16,86.45,-3.78,70.4,209,75.83,77.61
Shivansh Finserve Ltd,539593,,INE728Q01014,Financial,Misc. Fin.services,2022-06-16,4.81,4.79,0.72,14.16,3,-0.4
