Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales growth 3Years,Profit growth 3Years,Average return on capital employed 3Years,Average return on equity 3Years,YOY Quarterly sales growth,YOY Quarterly opm growth,YOY Quarterly profit growth,Return over 10years,Profit growth 10Years
Pan Electronics,517397,,Electronics - Components,26.05,10.42,504.59,,-12.86,,,,-165.78,,
Rap Media,531583,,Construction,17.70,10.41,,,-6.94,-5.31,100.00,,-22.22,-2.13,
Srestha Finvest,539217,,Finance & Investments,1.26,10.40,-16.64,23.96,4.08,-1.84,-70.37,-226.98,-300.00,,
Trans Freight,513063,TRANSFREIT,Packaging,14.22,10.35,,53.94,2.60,-15.31,-100.00,,161.11,6.52,10.10
IMEC Services,513295,RUCHISTRIP,Miscellaneous,2.07,10.35,-15.09,23.52,,,131.53,95.48,42.25,-13.67,
ICL Organic Dair,542935,,Trading,17.15,10.29,-39.25,-38.44,2.19,1.41,,,,,
Rapid Invest.,501351,,Finance & Investments,78.45,10.28,-27.70,,0.20,0.16,-15.38,-178.77,-100.00,,
MASK INVESTMENTS,,MASKINVEST,Finance & Investments,33.65,10.27,8.97,,0.17,0.02,450.00,105.19,37.50,,
Gujchem Distill,506640,,Chemicals,63.05,10.21,,41.74,2.33,2.93,,,1750.00,38.09,3.75
Naapbooks,543351,,Computers - Software - Medium / Small,55.00,10.21,8.21,18.00,30.77,27.16,,,,,
Titaanium Ten,539985,,Trading,15.15,10.19,9.23,25.99,8.94,8.27,121.34,-31.68,152.94,,12.07
NCC Blue Water,519506,,Aquaculture,13.14,10.18,,-39.29,9.93,7.46,,,-46.67,,8.64
York Exports,530675,,Textiles - Products,30.25,10.17,25.45,47.24,6.66,3.15,144.12,291.27,22.86,,
R M Drip & Sprin,,RMDRIP,Plastics Products,15.15,10.14,-7.02,22.25,7.06,5.00,,,,,
Aroma Ent.,531560,,Trading,20.75,10.12,,,-26.15,,,,42.11,5.12,
Sugal & Damani,511654,,Finance & Investments,16.15,10.10,-31.74,-9.53,10.29,5.82,-11.36,109.45,115.13,2.15,23.20
Tarai Foods,519285,,Food - Processing - Indian,5.69,10.09,4.66,,-16.05,,-27.27,47.44,48.15,5.16,4.94
Ladam Affordab.,540026,,Construction,5.50,10.07,109.14,59.93,2.51,0.88,83.23,164.51,201.67,,
Abhinav Leasing,538952,,Finance & Investments,2.01,10.05,71.09,71.00,9.43,1.01,222.41,88.89,70.00,,
Vision Cinemas,526441,,Entertainment / Electronic Media Software,1.42,10.05,,1.00,-2.93,-3.24,,,47.06,-14.84,
Octal Credit Cap,538894,,Finance & Investments,20.10,10.05,-8.74,123.89,5.72,5.16,50.00,-227.78,-230.95,,
J J Finance Corp,523062,,Finance & Investments,35.60,10.04,-12.15,-5.90,3.49,2.47,-82.35,-241.66,-80.00,3.52,-1.39
Indus Finance,531841,,Finance & Investments,10.83,10.03,-37.80,,0.89,-6.77,-88.62,-875.89,-285.71,-15.85,
Inani Securities,531672,,Finance & Investments,22.00,10.03,3.33,52.86,4.57,2.27,-35.00,-125.65,-50.00,6.90,7.62
Svam Software,523722,,Computers - Software - Medium / Small,5.93,10.01,3.72,,0.31,0.07,-24.18,-707.85,-97.22,14.43,
Quantum Build,538596,,Construction,3.99,10.00,,23.33,-9.42,-12.45,,,6.67,,
Soni Medicare,539378,,Healthcare,23.40,9.98,18.30,3.37,0.41,-16.38,19.75,-107.89,-300.00,,
Kkalpana Plastic,523652,,Diamond Cutting / Jewellery,18.00,9.95,,,0.60,0.25,,,,,1.34
Millen. Online,511187,,Trading,1.99,9.95,-7.25,44.22,-2.19,-2.40,-88.91,206.12,110.00,,
Tradewell Hold,531203,,Construction,33.00,9.90,553.04,24.45,15.39,25.21,-88.50,2470.35,221.43,-3.78,
Mehta Securities,511738,,Finance & Investments,32.00,9.89,27.38,-6.75,-6.67,-6.78,-47.62,,13.70,15.38,-18.60
Arunis Abode,526935,,Finance & Investments,32.95,9.89,48.02,44.22,4.54,3.61,233.33,-402.55,-2550.00,11.08,34.93
Midwest Gold,526570,,Miscellaneous,30.15,9.86,2.94,,-15.57,,-33.33,7.69,23.29,,
Trio Merc. Trad.,534755,,Trading,1.45,9.85,-46.35,,-0.33,-0.61,297.22,56.79,1700.00,,
Quality RO Indu.,543460,,Domestic Appliances,51.00,9.84,,,,,,,,,
DCM Financial,511611,DCMFINSERV,Finance & Investments,4.35,9.83,,36.22,1.21,,,,241.03,10.52,-13.12
Perfect-Octave,521062,,Textiles - Products,2.83,9.82,-0.63,0.00,1.21,-1.19,81.48,,237.50,-21.45,-26.92
Shreevatsaa Fin.,532007,,Finance & Investments,9.68,9.77,0.00,19.81,3.00,2.25,-80.56,-69.30,-92.65,,12.69
VXL Instruments,517399,VXLINSTR,Computers - Hardware,7.32,9.75,-5.39,25.76,-12.10,-24.92,58.43,118.87,131.33,-8.40,
Amit Internation,531300,,Textiles - Products,5.14,9.75,,-13.59,0.85,0.74,,,-70.00,-0.94,34.93
Starlit Power,538733,,Mining / Minerals / Metals,9.69,9.75,-12.68,12.45,-10.62,,-101.53,,218.60,,
Vamshi Rubber,530369,,Miscellaneous,23.10,9.72,-5.72,-58.51,3.26,-5.80,20.22,283.80,-18.52,1.76,-35.29
Parshwanath Corp,511176,,Construction,31.00,9.71,-14.24,-11.88,4.64,3.87,13.33,82.36,100.00,1.69,-23.64
Mukat Pipes,523832,MUKATPIPE,Steel - Medium / Small,8.19,9.68,-8.43,18.34,,,-0.48,721.90,3300.00,0.36,6.94
Amforge Inds.,513117,AMFORGEIND,Finance & Investments,6.71,9.65,,447.37,6.13,7.42,,,1244.44,13.69,9.20
Medico Intercon.,539938,,Trading,29.55,9.61,95.42,61.20,27.58,33.20,-0.41,12.21,52.63,,
Swagtam Trading,539406,,Trading,80.45,9.58,15.62,135.13,1.18,0.95,-100.00,,-200.00,,
Looks Health,534422,,Healthcare,9.10,9.56,,-50.00,-0.07,-0.42,,,94.44,-8.82,7.54
Taylormade Renew,541228,,Electric Equipment,9.69,9.52,-37.80,-49.05,-0.19,-2.72,,,,,31.95
Rajdarshan Inds,526662,ARENTERP,Miscellaneous,30.60,9.50,-35.11,-2.35,-11.48,-8.20,,,140.00,13.40,21.04
Southern Latex,514454,,Textiles - Products,12.91,9.50,,1.72,4.02,3.29,,,5.88,4.18,-2.59
Shalimar Agencie,539895,,Finance & Investments,31.65,9.50,,-14.50,-3.12,-3.12,,,-100.00,,
Lerthai Finance,502250,,Refractories / Intermediates,135.40,9.48,,3.11,-5.48,-5.83,,,52.63,-8.24,
Betex India,512477,,Textiles - Processing,63.10,9.47,7.36,-25.21,4.67,3.98,-22.18,-167.93,-91.49,-4.16,-9.40
Mansi Fin.(Chen),511758,,Finance & Investments,26.80,9.46,-19.22,-38.54,8.18,4.84,-41.87,-28.59,-121.33,14.68,0.64
Shree Precoated,533110,SHPRE,Construction,22.85,9.46,,,,,,,-134.21,21.88,
Ajel,530713,,Computers - Software - Converts,8.12,9.46,-8.74,24.77,-1.43,-2.09,9.71,8.87,0.00,6.06,
Mac Hotels,541973,,Hotels,31.50,9.45,-21.58,,-23.28,-43.65,,,,,
Starlite Comp.,517548,,Trading,5.51,9.42,-67.93,,,,11.11,72.68,56.52,7.20,6.32
Helpage Finlease,539174,,Finance & Investments,9.46,9.41,8.97,23.47,5.93,4.05,-9.09,-14.79,-35.29,,
Norris Medicines,524414,,Trading,9.40,9.40,-16.58,-60.96,-15.72,,-68.09,-28.34,29.65,,
Peeti Securities,531352,,Textiles - Processing,25.00,9.38,1.12,-1.28,12.75,9.39,1.70,-143.03,-127.27,15.34,27.66
Libord Finance,511593,,Finance & Investments,5.96,9.36,-19.95,100.00,1.39,0.90,-25.00,-25.93,-45.45,-7.23,-1.17
Span Divergent,524727,,Miscellaneous,17.15,9.36,-18.45,24.12,-12.54,-33.84,14.16,129.19,13.83,-6.60,4.06
Suryavanshi Spg.,514140,SURYVANSPG,Textiles - Cotton/Blended,19.05,9.35,38.01,34.70,-0.86,,11.21,-38.42,213.89,5.20,8.02
Symbiox Investme,539278,,Trading,2.99,9.35,5.27,151.98,0.33,0.25,-75.40,-10.34,-475.00,,
Lippi Systems,526604,,Engineering,13.35,9.34,-12.76,0.40,3.38,0.84,-48.60,-1300.00,502.86,10.08,21.48
KBS India,530357,,Finance & Investments,10.95,9.33,29.25,40.71,1.26,0.69,69.57,81.85,-100.00,-5.21,9.32
AVI Polymers,539288,,Trading,22.80,9.33,162.79,188.45,10.49,7.18,13.51,385.19,30.00,,
Vintron Info.,517393,,Computers - Hardware,1.19,9.32,-10.60,17.06,-55.48,,62.50,120.49,112.37,-8.43,
Avance Tech.,512149,,Computers - Software - Converts,0.47,9.32,50.20,,-0.06,-0.07,,,-1825.00,-12.06,2.07
Neil Industries,539016,,Finance & Investments,4.75,9.29,-31.75,,0.86,-0.40,4.29,-1674.02,-1160.61,,
Viceroy Hotels,523796,VICEROY,Hotels,2.19,9.29,-18.92,-30.86,-15.63,,29.75,17.49,-73.91,-21.58,
C & C Constrn.,532813,CANDC,Construction,3.50,9.27,-6.54,10.64,9.36,,-12.85,-55.71,-241.85,-24.92,
Simplex Papers,533019,,Trading,30.85,9.26,,-51.93,-14.35,,,,-33.33,15.99,4.90
IITL Projects,531968,,Construction,18.50,9.23,181.88,38.80,,,147.73,81.54,33.91,-7.63,26.33
Shree Hanuman Sg,537709,,Sugar,4.99,9.23,-85.02,-14.84,-0.68,-0.98,,,35.71,,
Phyto Chem (I),524808,,Pesticides / Agrochemicals - Indian,21.45,9.22,-26.87,-31.32,7.81,3.24,-46.58,980.00,126.32,8.39,-13.75
Market Creators,526891,,Finance & Investments,8.75,9.19,11.88,361.04,7.78,2.73,8.57,93.52,-57.14,4.73,41.71
C J Gelatine,507515,,Chemicals,19.10,9.19,15.41,-11.21,7.56,3.76,7.14,18.14,166.67,11.91,42.69
Times Green Ener,543310,,Trading,55.25,9.19,,,,,,,,,
Longview Tea,526568,,Trading,30.50,9.15,,466.19,7.63,5.23,195.00,105.54,103.83,14.79,19.92
Bhagawati Oxygen,509449,,Chemicals,39.50,9.13,-48.09,,-8.74,-19.31,1200.00,89.57,-1.10,13.06,
Super Fine Knit.,540269,,Textiles - Products,7.37,9.13,-15.83,,3.26,-2.76,,,,,
India Lease Dev.,500202,INDIALEASE,Finance & Investments,6.19,9.10,-7.64,17.73,3.85,3.85,-131.25,,-420.00,-1.54,2.92
Rander Corpn.,531228,,Construction,7.34,9.06,42.31,25.99,2.10,0.51,194.29,35.87,-433.33,-17.22,-12.64
Stratmont Indus.,530495,,Trading,25.90,9.06,-24.02,87.81,6.48,10.82,27675.00,99.66,116.67,19.39,16.29
Jyotirgamya Ent.,539246,,Trading,39.40,9.06,-67.82,25.60,-1.45,-1.35,,,-100.00,,6.79
Chandni Machines,542627,,Trading,28.00,9.04,136.62,158.80,12.83,9.89,316.58,304.88,1075.00,,
IMP Powers,517571,INDLMETER,Electric Equipment,10.70,9.03,-40.48,,2.47,-15.65,-66.22,-1111.33,-29.92,-10.19,
Tokyo Finance,531644,,Finance & Investments,12.90,8.99,-38.41,-70.26,-7.02,-7.62,166.67,53.13,-113.64,9.00,-21.56
Bright Solar,,BRIGHT,Pumps,4.40,8.98,-49.97,,-4.78,-5.83,,,,,
Galaxy Agrico,531911,,Engineering,32.85,8.97,9.96,144.41,3.32,1.95,-7.45,-62.50,-109.76,9.28,20.21
Umiya Tubes,539798,,Steel - Medium / Small,8.95,8.96,12.73,18.56,2.53,0.58,8.81,94.57,-75.00,,
Arihant Tourneso,526125,,Trading,9.03,8.93,,-35.15,-102.86,,,,33.33,,
DMR Hydroengg.,543410,,Engineering,23.95,8.93,30.73,32.00,29.91,22.78,,,,,
Cranex,522001,,Engineering,14.85,8.91,8.85,5.73,6.58,9.09,33.02,30.00,9.09,4.92,7.18
Sirohia & Sons,538667,,Trading,8.66,8.88,,,-0.32,-0.51,,,,,
Ahimsa Industrie,532594,AHIMSA,Plastics Products,16.20,8.87,-16.44,10.06,1.79,-0.85,,,,,0.00
KJMC Corporate,532304,,Finance & Investments,22.55,8.86,8.29,28.11,-0.74,-1.70,38.83,129.33,104.68,6.40,-8.29
Simplex Mills,533018,,Textiles - Cotton/Blended,29.50,8.85,,20.51,,,,,-109.09,2.98,7.06
Switching Tech.,517201,,Electric Equipment,36.00,8.82,-16.69,,,,0.31,35.44,8.46,6.54,
Gemstone Invest.,531137,,Finance & Investments,1.18,8.82,-26.90,-36.24,2.71,1.89,-94.12,-813.45,46.91,-24.25,-6.24
SMVD Poly Pack,,SMVD,Plastics Products,17.75,8.81,20.05,-23.76,8.94,3.56,,,,,
ANS Industries,531406,,Food - Processing - Indian,9.50,8.80,,9.17,-8.43,-13.86,,,93.09,1.75,
Ranjeet Mechatr.,541945,,Engineering - Turnkey Services,13.33,8.80,2.67,-18.98,9.27,3.54,-0.04,-23.93,-58.75,,25.89
Standard Shoe,523351,,Trading,16.94,8.77,46.33,71.21,,,,,1730.00,,31.95
Coastal Roadways,520131,,Miscellaneous,21.10,8.76,-8.14,36.04,0.02,-2.00,-9.47,52.69,,1.83,-6.11
Nihar Info Glob.,531083,,Computers - Software - Medium / Small,9.49,8.74,17.96,220.75,4.35,3.24,409.26,-69.47,-21.43,20.26,9.53
Blu.Coast Hotel.,531495,BLUECOAST,Hotels,6.85,8.73,,25.57,,,,,99.12,-27.25,5.57
Raasi Refractor,502271,,Refractories / Intermediates,18.49,8.71,15.08,-9.66,11.06,,668.71,-59.15,1766.67,9.84,21.87
Duke Offshore,531471,,Oil Drilling / Allied Services,8.82,8.69,-45.96,,-18.24,-20.41,84.21,72.31,12.99,-1.25,
Mohota Indust.,530047,MOHOTAIND,Textiles - Composite,5.90,8.68,-84.65,,-5.12,-11.08,-100.00,,138.17,-13.65,
Acrow India,513149,,Engineering,135.15,8.65,,,-1.54,-1.25,,,-92.31,3.16,
Shukra Jewellery,523790,SHUKRADIAM,Diamond Cutting / Jewellery,6.35,8.62,-49.92,-32.73,1.08,0.49,-81.32,-1170.45,-354.05,10.64,-11.22
Athena Construc.,539099,,Construction,11.45,8.59,50.46,80.15,2.88,-0.61,,,,,47.88
LWS Knitwear,531402,,Textiles - Products,16.95,8.58,4.36,-16.08,3.85,2.24,59.97,-7.61,-36.36,2.56,23.86
Accord Synergy,,ACCORD,Engineering - Turnkey Services,24.70,8.58,-31.47,,-0.03,-5.57,,,,,
AKM Lace,540718,,Trading,28.50,8.58,-26.26,,-2.55,-2.83,-89.25,-85.90,175.00,,
Thambbi Modern,514484,,Textiles - Cotton/Blended,14.88,8.57,-3.77,-13.79,-4.48,,29.17,-120.84,-284.85,5.71,3.70
FGP,500142,FGPIND,Miscellaneous,7.20,8.56,2.50,,-14.30,-14.20,33.33,37.50,-33.33,9.98,
KCD Industries,540696,,Electronics - Consumer,42.80,8.56,-43.81,,1.75,1.14,-100.00,,100.00,,
Alka Securities,532166,,Finance & Investments,0.89,8.54,1.37,-12.64,,,-97.73,-2739.68,-88.89,7.80,8.31
Stellar Capital,536738,,Finance & Investments,3.42,8.54,-13.81,10.46,1.78,1.09,,,,,40.97
Shashwat Furnis.,543519,,Miscellaneous,40.90,8.54,,,,,,,,,
Sujala Trading &,539117,,Finance & Investments,14.90,8.53,56.45,5.73,0.64,0.69,370.00,138.32,180.00,,
Tranway Technol.,542923,,Computers - Software - Medium / Small,8.05,8.53,,,,,,,,,
Vas Infra.,531574,,Construction,5.61,8.49,-21.85,-54.63,-2.53,,100.00,,-80.52,-14.65,
Cindrella Hotels,526373,,Hotels,23.50,8.46,4.69,4.96,-0.33,-0.76,50.42,-3.13,81.82,2.67,4.42
Yogi Infra Proj.,522209,,Construction,5.00,8.43,,-8.67,0.10,0.09,62.50,113.19,120.00,-9.75,
Northlink Fiscal,539110,,Finance & Investments,16.05,8.42,-61.41,30.50,2.44,2.27,-5.56,-205.88,-100.00,,
Step Two Corp.,531509,,Finance & Investments,19.80,8.41,10.33,44.22,3.72,2.95,100.00,25.02,-41.67,16.86,8.84
Parsharti Invest,511702,,Finance & Investments,25.05,8.41,29.91,,-0.92,-1.08,-50.00,-500.00,-350.00,10.32,
NPR Finance,530127,,Finance & Investments,14.01,8.40,-40.71,,0.64,0.11,259.52,122.14,126.72,9.22,
Shivagrico Impl.,522237,,Engineering,16.75,8.40,24.49,42.88,5.25,2.19,-4.78,24.04,-50.00,3.95,0.26
Glittek Granites,513528,,Miscellaneous,3.21,8.33,-24.33,,-3.45,-14.49,-18.24,114.39,77.78,9.38,
Rajasthan Cylind,538707,,Miscellaneous,24.75,8.32,-40.14,52.55,-2.15,-7.48,-25.06,-4.85,474.07,,
Veerhealth Care,511523,NIYATILEAS,Pharmaceuticals - Indian - Formulations,11.97,8.31,17.21,,4.25,1.45,6.91,15.79,-75.00,8.29,
iStreet Network,524622,,Trading,3.90,8.31,-55.58,26.61,,,,,150.00,3.75,7.92
Orient Tradelink,531512,,Entertainment / Electronic Media Software,7.58,8.31,-17.53,6.08,7.17,6.86,-50.68,-2120.00,-4.76,,
Shri Ram Switch.,,SRIRAM,Electric Equipment,8.30,8.31,-45.54,,-12.69,,,,,,
SKS Textiles,,SKSTEXTILE,Textiles - Products,25.50,8.31,-84.97,,-44.24,,,,,,
Milestone Global,531338,,Miscellaneous,16.50,8.28,15.99,49.15,7.48,3.95,18.48,-94.72,-142.86,,53.99
Paragon Finance,531255,,Finance & Investments,19.45,8.27,-12.57,-15.57,4.22,3.34,-7.94,102.04,275.00,4.95,0.15
AVI Products,523896,,Trading,32.00,8.27,-0.88,-5.01,7.57,5.36,29.21,-34.85,-33.33,,-13.96
SAB Events,540081,SABEVENTS,Entertainment / Electronic Media Software,7.91,8.27,-18.89,8.40,-21.73,-41.76,-7.14,59.25,33.85,,
BNR Udyog,530809,,Computers - Software - Medium / Small,27.55,8.26,32.35,52.71,6.92,5.74,11.69,-0.15,-29.63,8.20,-0.60
Mewat Zinc,513496,,Mining / Minerals / Metals,20.65,8.26,-25.24,-20.63,0.90,0.65,,,75.00,,
IO System,523752,,Miscellaneous,4.88,8.25,,3.16,,,,,-9.52,,
Felix Industries,,FELIX,Engineering,16.15,8.23,84.85,39.84,1.70,-0.14,,,,,
Sparc Electrex,531370,,Computers - Software - Medium / Small,16.81,8.22,995.57,168.11,2.09,1.31,,,192.78,18.85,59.71
Aravali Sec.&Fin,512344,ARAVALISEC,Finance & Investments,5.43,8.22,12.68,34.52,25.20,,,,-26.32,-8.71,12.12
Creative Eye,532392,CREATIVEYE,Entertainment / Electronic Media Software,4.14,8.20,-52.60,21.89,-4.68,-7.79,-20.00,70.42,77.69,-0.02,
Objectone Inform,535657,,Computers - Software - Medium / Small,7.79,8.19,12.13,34.22,6.63,4.40,32.98,6930.77,554.55,,6.78
Modella Woollens,503772,,Trading,89.90,8.18,,18.84,,,,,1700.00,,14.52
GCM Capital,538319,,Finance & Investments,4.82,8.17,-2.02,74.19,0.48,0.31,-12.80,-314.62,-100.00,,
Ambition Mica,539223,,Miscellaneous,5.47,8.16,-35.21,,-5.90,-25.87,-70.34,-478.12,-653.42,,
Prime Industries,519299,,Finance & Investments,5.15,8.14,-40.65,,4.90,2.34,-90.64,849.86,-96.00,-0.71,
Indo Cotspin,538838,,Textiles - Cotton/Blended,19.35,8.13,9.89,38.67,-0.52,-0.47,126.11,-15.84,-58.82,,
Ventura Textiles,516098,,Textiles - Processing,4.15,8.08,132.30,18.84,-13.56,,354.93,84.75,134.42,3.94,4.51
Integra Capital,531314,,Finance & Investments,17.15,8.06,3.13,-6.47,0.84,-0.42,-266.67,,-1600.00,13.72,9.11
Olympic Oil Ind.,507609,,Trading,28.15,8.03,,25.83,-0.56,,,,-275.00,,
Rajas. Tube Mfg,530253,,Steel - Medium / Small,17.80,8.03,-11.50,123.74,4.11,-10.45,50.86,-38.79,50.00,3.19,-2.62
Ace Soft. Exp.,531525,,Computers - Software - Medium / Small,17.10,8.00,6.93,9.35,-7.20,-5.31,10.39,74.39,70.37,9.11,
Sarup Industries,514412,,Leather / Leather Products,24.55,7.98,-14.75,20.80,-3.26,,-56.22,759.65,8.86,-2.31,
Mitshi India,523782,,Trading,9.01,7.93,10.64,-77.60,13.73,14.83,149.25,81.03,52.04,,11.61
Superior Finleas,539835,,Finance & Investments,2.64,7.92,59.25,23.86,0.60,6.03,-30.95,87.52,91.22,,
Raghunath Intl.,526813,,Construction,15.75,7.88,,175.89,12.67,9.54,,,-166.67,19.29,26.81
Ramsons Projects,530925,,Finance & Investments,26.15,7.87,15.07,135.13,2.20,2.20,0.00,,-20.00,13.85,13.74
Rotographics (I),539922,,Trading,21.85,7.87,2.33,0.00,0.55,0.28,-33.33,-57.15,-57.14,,0.00
Decillion Financ,539190,,Finance & Investments,22.45,7.86,6.53,,0.80,0.47,43.75,163.24,238.46,,
Dalal Street Inv,501148,,Finance & Investments,245.25,7.85,-36.86,-79.00,3.98,1.49,,,-86.67,-28.30,8.45
Bharat Bhushan,511501,,Finance & Investments,23.15,7.83,-0.67,7.72,0.95,0.70,42.86,169.98,80.00,9.81,-14.34
Garware Synth,514400,,Textiles - Products,13.49,7.83,-4.85,19.49,5.61,,39.77,-34.81,-26.92,,21.91
R J Bio-Tech,536456,,Miscellaneous,8.25,7.81,23.53,6.81,,,1833.33,96.87,33.07,,
Muller & Phipps,501477,,Trading,125.05,7.81,8.25,146.62,,,-13.04,-53.99,0.00,7.27,8.23
Wherrelz IT,543436,,Computers - Software - Medium / Small,200.00,7.79,15.14,,-213.33,-250.00,,,,,
Ahm. Steelcraft,522273,,Steel - Medium / Small,19.00,7.77,-59.18,,-2.02,-2.28,40.91,21.93,-35.71,-1.23,
Sprayking Agro.,540079,,Engineering,24.50,7.77,-18.30,42.88,2.73,-0.63,,,,,5.76
Sover. Diamonds,523826,,Diamond Cutting / Jewellery,13.40,7.76,-16.34,68.10,4.10,-0.27,6.56,-16.42,-18.52,16.38,10.96
Raunaq EPC Intl.,537840,,Engineering - Turnkey Services,23.20,7.76,-58.16,11.50,-16.26,-45.03,37.13,-74.18,-63.39,,
Sh. Ganesh Elas.,530797,,Trading,14.05,7.73,63.79,,25.35,22.90,155.44,-3.64,-216.00,,20.74
Subhash Silk,530231,,Textiles - Products,18.15,7.70,-41.52,166.84,5.41,0.69,,,-1500.00,,-4.78
Bloom Dekor,526225,,Miscellaneous,11.13,7.62,-25.10,,-18.83,,-52.55,-136.18,26.11,-4.64,
South. Magnesium,513498,,Mining / Minerals / Metals,25.40,7.62,-19.10,-33.66,2.51,1.02,-77.63,-587.67,-261.54,,13.78
Focus Business,543312,,Finance & Investments,34.25,7.61,8.87,16.55,10.62,7.81,,,,,
Triton Corp.,523387,,Computers - Software - Medium / Small,0.38,7.60,,-8.55,-5.81,-8.50,,,0.00,4.28,6.47
Sh. Steel Wire,513488,,Steel - Medium / Small,22.90,7.58,5.46,-16.27,11.29,8.59,33.33,-18.24,126.32,19.43,1.62
Shree Pacetronix,527005,,Healthcare,21.00,7.56,8.23,123.36,9.44,6.20,10.80,175.56,850.00,-2.97,
Padam Cotton,531395,,Textiles - Cotton/Blended,19.50,7.55,,69.08,-4.42,0.52,,,,,
Kush Industries,514240,SUZLONFIBR,Textiles - Processing,4.95,7.55,38.39,17.93,11.20,,,,425.00,9.76,6.60
Adinath Exim Res,532056,,Finance & Investments,17.40,7.51,14.28,-2.70,3.90,2.51,4.17,1826.62,-500.00,1.56,9.60
Misquita Engg.,542801,,Engineering,27.80,7.49,5.81,2.50,10.28,7.38,,,,,35.59
Mehta Integrat.,511377,,Finance & Investments,14.97,7.48,,,-0.23,-0.26,-100.00,,-17.95,11.93,
Cityman,521210,,Textiles - Products,6.39,7.48,,6.10,-3.83,,,,-16.67,-10.52,1.59
Alchemist Corp.,531409,,Trading,15.20,7.46,-43.91,31.04,0.42,0.45,-100.00,,228.57,6.15,10.65
Aayush Food&Herb,539528,,Trading,22.95,7.45,-49.01,,6.73,-5.64,-89.59,-1073.95,-1833.33,,
Kuwer Industries,530421,,Packaging,8.19,7.43,10.16,32.32,5.54,1.54,10.54,43.95,508.11,,14.28
Vishvprabha Ven.,512064,,Finance & Investments,43.20,7.41,28.54,,-2.24,-8.28,872.73,85.05,-433.33,,
Tine Agro,531205,,Trading,13.05,7.40,192.57,,,,578.79,-155.98,-483.33,,8.84
Uniroyal Marine,526113,,Aquaculture,11.38,7.37,-14.01,-29.53,6.24,-1.54,-46.69,1090.59,106.38,6.88,-17.34
Modern Engineer.,539762,,Finance & Investments,23.80,7.35,420.48,,-23.30,-40.20,1040.00,102.19,-2225.00,,
Southern Infosys,540174,,Computers - Software - Medium / Small,14.65,7.35,-12.05,100.00,2.11,1.66,-57.62,100.00,100.00,,
Guj. Lease Fin.,500174,GLFL,Finance & Investments,3.20,7.32,53.62,21.41,-2.11,,,,60.00,-0.50,4.14
Ashish Polyplast,530429,,Plastics Products,21.45,7.30,5.20,28.73,6.29,4.05,11.56,34.11,-108.33,14.37,3.36
Innovative Ideal,541983,,Trading,6.42,7.30,-43.53,,-13.64,-21.54,,,,,
Aishwarya Tech.,532975,,Telecommunications - Equipment,3.05,7.29,-13.47,21.78,-55.04,,-57.09,15.57,60.27,-9.47,1.21
Abhishek Integr.,,AILIMITED,Miscellaneous,24.15,7.27,504.44,,,,,,,,
S R G Securities,536710,,Finance & Investments,13.50,7.26,-18.01,-13.85,6.71,3.43,,,,,13.49
Niks Technology,543282,,Computers - Software - Medium / Small,200.00,7.26,,,,,,,,,
Tarapur Trans,533203,TARAPUR,Electric Equipment,3.85,7.22,-40.40,99.11,-20.15,-50.18,390.00,,172.79,-11.39,16.45
Purshottam Inves,538647,,Finance & Investments,11.50,7.22,34.86,164.37,5.96,5.61,4251.72,-88.97,,,
Kotia Enterprise,539599,,Trading,10.29,7.22,-66.27,-19.04,6.38,4.91,1000.00,107.69,-14.29,,34.47
SPS Intl.,530177,,Trading,17.00,7.20,-73.98,,-14.33,-17.87,-100.00,,85.00,15.03,
JMD Ventures,511092,,Trading,4.99,7.20,102.35,27.90,-2.32,-2.31,-57.26,-609.80,-1400.00,-20.15,-28.00
Manipal Fin. Cor,507938,,Finance & Investments,8.58,7.19,9.58,,,,-54.55,-320.02,-12200.00,,
Mahaan Foods,519612,,Food - Processing - Indian,20.50,7.18,,-30.14,3.71,2.44,,,121.43,-0.54,-7.58
Vapi Paper Mills,502589,,Paper,31.40,7.16,6.24,88.99,22.29,,-8.22,56.61,55.56,5.66,-0.71
Hotel Rugby,526683,HOTELRUGBY,Hotels,5.00,7.16,,-39.63,-36.03,-36.93,,,-6100.00,-4.88,
Lak. Prec. Screw,506079,LAKPRE,Fasteners,5.75,7.15,-9.65,-18.06,4.70,-37.57,-16.37,124.55,30.21,-17.46,
Neo Infracon,514332,,Construction,13.47,7.15,172.51,36.28,8.77,30.98,-93.77,-4104.21,-82.98,-2.96,
First Custodian,511122,,Finance & Investments,47.40,7.11,49.20,63.76,5.54,3.96,18.60,8.79,-11.11,10.17,20.23
Supertex Inds.,526133,,Textiles - Processing,6.26,7.10,-11.84,44.22,6.54,1.90,-45.23,-58.15,-51.65,1.19,-19.80
Coral Newsprints,530755,,Paper,13.98,7.07,-29.38,25.65,,,-41.51,-154.32,40.48,14.00,
J D Orgochem,524592,JDORGOCHEM,Dyes And Pigments,5.32,7.05,-6.57,,,,-100.00,,-562.50,2.51,5.54
Goyal Associates,530663,,Finance & Investments,1.50,7.04,-38.86,8.74,0.00,-3.39,-34.62,144.72,650.00,9.60,2.36
Purple Entertain,540159,,Entertainment / Electronic Media Software,8.10,7.01,,,2.08,2.01,,,127.27,,
Shree Mfg. Co.,503863,,Textiles - Cotton/Blended,8.40,6.97,,9.65,,,,,-200.00,,
