Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales growth 3Years,Profit growth 3Years,Average return on capital employed 3Years,Average return on equity 3Years,YOY Quarterly sales growth,YOY Quarterly opm growth,YOY Quarterly profit growth,Return over 10years,Profit growth 10Years
Artson Engg.,522134,ARTSONENGG,Engineering - Turnkey Services,77.05,284.47,3.00,-21.43,90.32,,-30.87,-76.32,-276.58,12.61,4.88
Orbit Exports,512626,ORBTEXP,Textiles - Processing,103.65,283.41,-2.64,-11.35,10.64,8.20,116.75,53.43,257.43,14.88,6.08
JCT,500223,JCT,Textiles - Composite,3.26,283.07,0.16,33.98,6.68,-3.66,14.84,-53.04,392.29,6.36,7.91
JK Agri Genetics,536493,,Miscellaneous,610.00,282.85,8.84,15.40,6.19,1.65,26.90,36.91,156.55,,50.46
Shemaroo Entert.,538685,SHEMAROO,Entertainment / Electronic Media Software,103.60,281.17,-12.43,-60.53,4.40,1.04,20.56,-34.94,-4.37,,-13.22
Yash Pakka,516030,,Paper,73.70,280.64,5.17,22.40,21.94,21.91,38.51,-21.34,11.03,29.82,45.39
Precot,,PRECOT,Textiles - Cotton/Blended,233.35,280.02,7.93,144.80,12.54,11.54,30.35,-24.16,-16.59,15.74,14.15
Jindal Poly Inve,536773,JPOLYINVST,Finance & Investments,264.00,279.05,1114.22,89.58,36.10,,304228.00,-95.89,7952.53,,
Cupid,530843,CUPID,Miscellaneous,210.05,279.03,17.04,4.55,30.61,25.03,-22.25,8.26,-35.24,41.78,40.17
Mafatlal Inds.,500264,MAFATLAIND,Textiles - Composite,197.65,278.38,-1.09,33.64,1.14,-4.36,86.20,194.19,343.08,5.82,12.20
Bafna Pharma.,532989,BAFNAPH,Pharmaceuticals - Indian - Formulations,119.00,277.90,24.96,33.34,9.23,11.96,-31.41,-118.04,-131.44,10.27,13.18
Knowledge Marine,543273,,Miscellaneous,271.00,277.39,79.48,120.47,47.36,58.74,,,,,
Penta Gold,,PENTAGOLD,Diamond Cutting / Jewellery,216.95,276.07,-93.31,,3.38,-3.70,,,,,
